Region/Country/Area,,Year,Series,Value
492,Monaco,2020,"Safely managed drinking water sources, total (Proportion of population with access)",100
496,Mongolia,2020,"Safely managed drinking water sources, total (Proportion of population with access)",30.1
499,Montenegro,2020,"Safely managed drinking water sources, total (Proportion of population with access)",85.1
504,Morocco,2020,"Safely managed drinking water sources, total (Proportion of population with access)",79.9
104,Myanmar,2020,"Safely managed drinking water sources, total (Proportion of population with access)",58.8
524,Nepal,2020,"Safely managed drinking water sources, total (Proportion of population with access)",17.6
528,Netherlands,2020,"Safely managed drinking water sources, total (Proportion of population with access)",100
540,New Caledonia,2020,"Safely managed drinking water sources, total (Proportion of population with access)",96.6
554,New Zealand,2020,"Safely managed drinking water sources, total (Proportion of population with access)",100
558,Nicaragua,2020,"Safely managed drinking water sources, total (Proportion of population with access)",55.5
566,Nigeria,2020,"Safely managed drinking water sources, total (Proportion of population with access)",21.7
570,Niue,2020,"Safely managed drinking water sources, total (Proportion of population with access)",93.5
807,North Macedonia,2020,"Safely managed drinking water sources, total (Proportion of population with access)",76.8
580,Northern Mariana Islands,2020,"Safely managed drinking water sources, total (Proportion of population with access)",90.5
578,Norway,2020,"Safely managed drinking water sources, total (Proportion of population with access)",98.6
512,Oman,2020,"Safely managed drinking water sources, total (Proportion of population with access)",90.6
586,Pakistan,2020,"Safely managed drinking water sources, total (Proportion of population with access)",35.8
585,Palau,2020,"Safely managed drinking water sources, total (Proportion of population with access)",91.3
600,Paraguay,2020,"Safely managed drinking water sources, total (Proportion of population with access)",64.1
604,Peru,2020,"Safely managed drinking water sources, total (Proportion of population with access)",51.3
608,Philippines,2020,"Safely managed drinking water sources, total (Proportion of population with access)",47.5
616,Poland,2020,"Safely managed drinking water sources, total (Proportion of population with access)",98.3
620,Portugal,2020,"Safely managed drinking water sources, total (Proportion of population with access)",95.4
630,Puerto Rico,2020,"Safely managed drinking water sources, total (Proportion of population with access)",99.9
634,Qatar,2020,"Safely managed drinking water sources, total (Proportion of population with access)",96.2
410,Republic of Korea,2020,"Safely managed drinking water sources, total (Proportion of population with access)",99.2
498,Republic of Moldova,2020,"Safely managed drinking water sources, total (Proportion of population with access)",74.1
638,Réunion,2020,"Safely managed drinking water sources, total (Proportion of population with access)",94.3
642,Romania,2020,"Safely managed drinking water sources, total (Proportion of population with access)",82
643,Russian Federation,2020,"Safely managed drinking water sources, total (Proportion of population with access)",76.1
646,Rwanda,2020,"Safely managed drinking water sources, total (Proportion of population with access)",12.1
652,Saint Barthélemy,2020,"Safely managed drinking water sources, total (Proportion of population with access)",100
654,Saint Helena,2020,"Safely managed drinking water sources, total (Proportion of population with access)",89.2
663,Saint Martin (French part),2020,"Safely managed drinking water sources, total (Proportion of population with access)",96.7
666,Saint Pierre and Miquelon,2020,"Safely managed drinking water sources, total (Proportion of population with access)",83.1
882,Samoa,2020,"Safely managed drinking water sources, total (Proportion of population with access)",46.2
674,San Marino,2020,"Safely managed drinking water sources, total (Proportion of population with access)",100
678,Sao Tome and Principe,2020,"Safely managed drinking water sources, total (Proportion of population with access)",36.2
688,Serbia,2020,"Safely managed drinking water sources, total (Proportion of population with access)",75
694,Sierra Leone,2020,"Safely managed drinking water sources, total (Proportion of population with access)",10.6
702,Singapore,2020,"Safely managed drinking water sources, total (Proportion of population with access)",100
703,Slovakia,2020,"Safely managed drinking water sources, total (Proportion of population with access)",99.2
705,Slovenia,2020,"Safely managed drinking water sources, total (Proportion of population with access)",98.3
724,Spain,2020,"Safely managed drinking water sources, total (Proportion of population with access)",99.6
275,State of Palestine,2020,"Safely managed drinking water sources, total (Proportion of population with access)",79.7
740,Suriname,2020,"Safely managed drinking water sources, total (Proportion of population with access)",55.8
752,Sweden,2020,"Safely managed drinking water sources, total (Proportion of population with access)",99.8
756,Switzerland,2020,"Safely managed drinking water sources, total (Proportion of population with access)",94.2
762,Tajikistan,2020,"Safely managed drinking water sources, total (Proportion of population with access)",55.2
768,Togo,2020,"Safely managed drinking water sources, total (Proportion of population with access)",19.6
776,Tonga,2020,"Safely managed drinking water sources, total (Proportion of population with access)",29.5
788,Tunisia,2020,"Safely managed drinking water sources, total (Proportion of population with access)",79.3
795,Turkmenistan,2020,"Safely managed drinking water sources, total (Proportion of population with access)",94.8
800,Uganda,2020,"Safely managed drinking water sources, total (Proportion of population with access)",16.6
804,Ukraine,2020,"Safely managed drinking water sources, total (Proportion of population with access)",89
826,United Kingdom,2020,"Safely managed drinking water sources, total (Proportion of population with access)",99.8
840,United States of America,2020,"Safely managed drinking water sources, total (Proportion of population with access)",97.3
850,United States Virgin Islands,2020,"Safely managed drinking water sources, total (Proportion of population with access)",97.9
860,Uzbekistan,2020,"Safely managed drinking water sources, total (Proportion of population with access)",58.8
876,Wallis and Futuna Islands,2020,"Safely managed drinking water sources, total (Proportion of population with access)",58.8
716,Zimbabwe,2020,"Safely managed drinking water sources, total (Proportion of population with access)",29.5
